player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;City of Brass;Death's Shadow;Death's Shadow;00;06;03;00;04;00;01;04;00;06;76
lollonator;Unmask;Contagion;Memnite;00;00;06;06;02;03;03;01;02;02;76
Michael W;Providence;Speaker of the Heavens;Karakas;03;00;00;02;00;02;00;00;02;00;76
Bongoking;Soul Spike;Chancellor of the Dross;Chancellor of the Dross;06;00;02;00;00;00;00;06;06;02;76
BlackHole;Chancellor of the Forge;Island;Foil;01;02;06;06;00;06;06;00;02;02;76
hug77;Lion's Eye Diamond;Ulamog, the Infinite Gyre;Shelldock Isle;06;03;02;06;00;00;00;06;06;00;76
lordfire;Chancellor of the Dross;Black Lotus;Anointed Peacekeeper;04;03;06;06;00;06;00;03;04;06;76
The Beast;Death's Shadow;Cavern of Souls;Dismember;01;04;06;00;06;00;03;00;02;06;76
Master_of_Desaster;Karakas;Leyline of Singularity;Cenn's Tactician;06;02;02;00;02;00;01;02;00;02;76
P0LTERGEIST;Chancellor of the Forge;Pyrokinesis;Wasteland;00;02;06;02;02;06;00;00;02;00;76
