player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Myr Superion;Summary Dismissal;The Kami War // O-Kagachi Made Manifest;00;02;06;06;00;06;00;06;00;06;02;02;120
Schniggi;Tidehollow Sculler;Summary Dismissal;Callidus Assassin;02;00;06;06;06;06;02;06;02;06;00;02;120
lollonator;Tidehollow Sculler;Sorin, Lord of Innistrad;Elspeth, Sun's Champion;00;00;00;06;00;06;00;03;00;00;00;02;120
hoempes;Steely Resolve;Bloodletter of Aclazotz;Blood Tribute;00;00;00;00;00;06;00;03;00;00;00;00;120
Silver Seraph;Deep-Cavern Bat;Summary Dismissal;Demonic Covenant;06;00;06;06;00;06;03;02;06;06;06;06;120
BlackHole;Crystalline Sliver;Bonescythe Sliver;Megantic Sliver;00;00;00;00;00;00;00;02;00;00;00;00;120
Michael W;Valki, God of Lies // Tibalt, Cosmic Impostor;Summary Dismissal;The Kami War // O-Kagachi Made Manifest;06;02;06;06;03;06;00;06;00;06;00;06;120
The Beast;Assassin's Trophy;Advent of the Wurm;Torrential Gearhulk;00;00;03;03;02;02;00;00;02;00;00;06;120
Daeron;Bitterblossom;Stoic Sphinx;Time Stop;06;02;06;06;00;06;06;02;00;00;06;06;120
hug77;Leyline of Anticipation;Void Mirror;Dragonlord Dromoka;00;00;06;06;00;06;00;06;06;00;06;06;120
Sterni;Cruelclaw's Heist;Minsc & Boo, Timeless heroes;Time Stop;02;06;06;06;00;06;06;06;00;00;00;06;120
P0LTERGEIST;Deep-Cavern Bat;Summary Dismissal;Quagnoth;02;02;02;06;00;06;00;00;00;00;00;00;120
