player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Hexdrinker;Dread Fugue;Assassin's Trophy;00;03;03;06;06;06;00;06;03;06;95
Sterni;Black Lotus;Ashiok, Nightmare Muse;Hexdrinker;03;00;03;06;06;06;03;06;03;03;95
Silver Seraph;Dread Fugue;Lair of the Hydra;Gideon of the Trials;03;03;00;03;00;03;03;03;03;00;95
lollonator;Cavern of Souls;Tidehollow Sculler;Heroes' Bane;00;00;03;00;00;03;00;06;00;00;95
Michael W;Walking Ballista;Zur, Eternal Schemer;Leyline of Sanctity;00;00;06;06;00;00;06;06;00;00;95
BlackHole;Lion's Eye Diamond;Unburial Rites;It that Betrays;00;00;03;03;06;00;03;06;06;06;95
hug77;Hexdrinker;Dread Fugue;Vindicate;06;03;03;06;00;03;00;06;03;06;95
P0LTERGEIST;Sleep-Cursed Faerie;Sleep-Cursed Faerie;Sleep-Cursed Faerie;00;00;03;00;00;00;00;00;03;00;95
Master_of_Desaster;City of Traitors;Cabal Interrogator;Alpha Deathclaw;03;03;03;06;06;00;03;03;00;06;95
The Beast;Hexdrinker;Hex Parasite;Pithing Needle;00;03;06;06;06;00;00;06;00;00;95
