player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;City of Traitors;Isochron Scepter;Silverquill Charm;00;03;06;03;00;06;06;00;03;06;155
Schniggi;Sage of the Skies;Ral Zarek, Guest Lecturer;Black Lotus;03;00;06;03;06;06;06;03;03;04;155
The Beast;Icatian Store;Antiquities on the Loose;Erode;00;00;00;06;02;03;06;00;00;03;155
Silver Seraph;Tropical Island;Slumbering Trudge;Daze;03;03;00;00;06;06;04;03;03;03;155
Michael W;Sheltered Valley;Black Lotus;Tragedy Feaster;06;00;02;00;00;06;02;06;03;06;155
Optimiert;Black Lotus;Black Lotus;Decorum Dissertation;00;00;03;00;00;00;00;06;00;00;155
BlackHole;Savannah;Erode;Old-Growth Dryads;00;00;00;01;02;06;00;02;00;00;155
lollonator;City of Traitors;Isochron Scepter;Prismari Charm;06;03;06;03;00;00;02;00;03;00;155
hug77;Great Hall of the Biblioplex;Dread Fugue;Chronomaton;03;03;06;03;03;06;06;03;00;03;155
Master_of_Desaster;Black Lotus;City of Traitors;Emeritus of Ideation;00;01;03;03;00;06;06;06;03;00;155
