player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Swamp;Brain Pry;Bitterblossom;00;03;03;00;03;00;06;01;03;03;04;106
lollonator;Mishra's Workshop;Lodestone Golem;Akroan Horse;03;00;06;03;00;00;00;02;00;00;00;106
hoempes;City of Traitors;Grim Monolith;Leveler;03;00;00;00;06;01;00;02;04;01;00;106
Master_of_Desaster;Forest;Mayor of Avabruck // Howlpack Alpha;Mayor of Avabruck // Howlpack Alpha;06;03;06;00;00;03;00;01;03;06;00;106
The Beast;Leyline of the Guildpact;Scion of Draco;Cavern of Souls;03;06;00;06;00;00;02;02;03;03;00;106
Silver Seraph;Mishra's Workshop;Lodestone Golem;Eater of Days;06;06;04;03;06;00;02;02;06;03;00;106
BlackHole;Mishra's Workshop;Grim Monolith;Platinum Angel;00;06;06;06;02;02;00;02;06;06;02;106
lordfire;Mishra's Workshop;Lodestone Golem;Smokestack;04;02;02;04;02;02;02;00;04;01;02;106
hug77;Dryad Arbor;Myr Superion;Myr Superion;03;06;01;03;03;00;00;01;00;00;00;106
Michael W;City of Traitors;Urza's Saga;Power Conduit;03;06;04;00;03;03;00;04;06;00;00;106
P0LTERGEIST;Ensnaring Bridge;City of Traitors;Barbed Wire;01;06;06;06;06;06;02;02;06;06;00;106
