player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;Karakas;Wasteland;Serra Ascendant;00;00;02;06;00;00;00;02;00;32
lollonator;Black Lotus;Black Lotus;Frost Titan;06;00;00;06;03;00;00;00;00;32
Michael W;Black Lotus;Liliana of the Veil;Lurrus of the Dream-Den;02;06;00;06;06;06;06;04;01;32
BlackHole;Nezumi Shortfang // Stabwhisker the Odious;Peat Bog;Wasteland;00;00;00;00;00;00;00;02;00;32
The Beast;Mishra's Workshop;Lodestone Golem;Lodestone Golem;06;03;00;06;00;02;02;01;00;32
hug77;Black Lotus;Leyline of Anticipation;Elite Spellbinder;06;06;00;06;02;00;02;06;02;32
Master_of_Desaster;Leyline of Anticipation;Black Lotus;Elite Spellbinder;06;06;00;06;02;02;00;06;02;32
The green one;Black Lotus;Roiling Vortex;Meekstone;02;06;01;02;04;00;00;00;00;32
Bongoking;Black Lotus;Maze of Ith;Bitterblossom;06;06;04;06;06;02;02;06;00;32
