player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Island;Phantasmal Bear;Daze;00;06;06;01;02;03;06;01;06;06;00;02;06;43
Michael W;Irrigation Ditch;Nightshade Peddler;Icatian Javelineers;00;00;06;00;01;06;06;06;06;06;06;06;06;43
IMP;Halimar Wavewatch;Island;Island;00;00;00;01;02;00;00;00;00;02;02;00;00;43
GoDJi8;Island;Force Spike;Viscerid Deepwalker;04;06;04;00;02;01;06;01;04;03;00;04;01;43
lollonator;Wasteland;Myr Servitor;Myr Servitor;02;04;02;02;00;00;06;02;00;02;00;04;00;43
The Beast;Lotus Petal;Ancient Tomb;Shady Traveler // Stalking Predator;03;00;06;04;06;00;03;00;01;06;06;03;06;43
Kalli;Swamp;Lotus Petal;Burglar Rat;00;00;06;00;00;03;00;00;06;00;00;00;00;43
hug77;Pendelhaven;Glistener Elf;Forced Adaptation;04;00;06;04;02;06;06;00;06;06;06;06;06;43
Master_of_Desaster;Plains;Loyal Pegasus;Loyal Pegasus;00;00;06;01;06;04;00;00;00;00;06;00;06;43
BlackHole;Ancient Tomb;Arcbound Stinger;Ichorclaw Myr;00;00;02;03;02;00;06;00;06;00;00;00;03;43
P0LTERGEIST;Durkwood Baloth;Durkwood Baloth;Forest;06;00;02;06;06;00;06;00;00;06;00;00;03;43
Bongoking;Saprazzan Skerry;Blighted Agent;Unstable Mutation;02;00;06;01;01;03;06;00;06;06;06;00;06;43
The green one;Ancient Tomb;Ichorclaw Myr;Ichorclaw Myr;00;00;06;04;06;00;06;00;00;03;03;00;00;43
