player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;round
Namse;Black Lotus;Leonin Squire;Empty the Warrens;00;06;06;00;06;03;06;00;121
BlackHole;Urborg, Tomb of Yawgmoth;Exhume;It That Betrays;00;00;00;06;02;00;06;00;121
The Beast;Black Lotus;Empty the Warrens;Gaea's Cradle;00;06;00;06;06;03;06;00;121
Silver Seraph;Urza's Saga;The Tabernacle at Pendrell Vale;Tolarian Academy;06;00;00;00;06;02;03;06;121
lollonator;Swamp;Culling the Weak;Phyrexian Obliterator;00;02;00;00;00;01;06;00;121
hug77;Urborg, Tomb of Yawgmoth;Phylactery Lich;Ego Drain;03;06;03;02;04;00;03;03;121
Daeron;Karakas;Cathedral of War;Inkmoth Nexus;00;00;00;03;00;03;00;00;121
Master_of_Desaster;Black Lotus;Argivian Find;Aeve, Progenitor Ooze;06;06;06;00;06;03;06;00;121
