player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Inkmoth Nexus;Phyrexian Revoker;The Tabernacle at Pendrell Vale;00;00;02;00;06;02;06;00;00;00;00;5
hoempes;Serra Ascendant;Serra Ascendant;Plains;06;00;06;06;06;06;06;06;03;02;04;5
lollonator;Vault Skirge;Vault Skirge;Unmask;02;00;00;00;02;02;00;00;00;03;00;5
Bongoking;Inkmoth Nexus;Inkmoth Nexus;Quicksand;06;00;06;00;06;06;00;03;00;02;00;5
hug77;Leyline of Anticipation;Black Lotus;Vryn Wingmare;00;00;02;00;00;02;00;00;00;00;00;5
NumiChan;Inkmoth Nexus;Force of Will;Vizzerdrix;02;00;02;00;02;00;00;00;00;00;00;5
The green one;Dryad Arbor;Memnite;Memnite;00;00;06;06;06;06;00;02;03;00;03;5
The Beast;Khalni Garden;Khalni Garden;Chatter of the Squirrel;06;00;06;03;06;06;02;00;00;00;00;5
thiefAaron;Inkmoth Nexus;Thespian's Stage;Dark Depths;06;03;06;06;06;06;03;06;00;06;02;5
Hasran Ogress;Serra Ascendant;Cavern of Souls;The Tabernacle at Pendrell Vale;06;02;03;02;06;06;06;06;00;00;00;5
Master_of_Desaster;Dark Depths;Thespian's Stage;Wasteland;06;01;06;06;06;06;03;06;02;06;00;5
