player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse ; Black Lotus; Black Lotus; Brudiclad, Telchor Engineer;00;06;06;06;06;00;06;02;06;06;48
IMP ; Black Lotus; Black Lotus; Wurmcoil Engine;00;00;06;00;00;00;02;00;06;00;48
lollonator ; Ancient Den; Court Homunculus; Court Homunculus;00;00;00;03;00;00;00;00;00;02;48
Kratos Aurion ; Wasteland; Inkmoth Nexus; Maze of Ith;00;06;03;00;02;06;06;00;02;02;48
Michael W ; Oko, Thief of Crowns; Teferi's Isle; Pendelhaven;00;06;06;02;00;06;03;00;00;06;48
The Beast ; The Tabernacle at Pendrell Vale; Golgari Rot Farm; Treetop Village;06;06;06;00;00;00;00;06;00;00;48
BlackHole ; Yavimaya Hollow; Yavimaya, Cradle of Growth; Go-Shintai of Boundless Vigor;00;02;06;00;03;06;00;00;00;00;48
hug77 ; Black Lotus; Black Lotus; Brudiclad, Telchor Engineer;02;06;06;06;06;00;06;00;06;06;48
P0LTERGEIST ; Inkmoth Nexus; Inkmoth Nexus; Wasteland;00;00;06;02;06;06;06;00;00;06;48
Master_of_Desaster ; Subterranean Hangar; Maze of Ith; Blackbloom Rogue // Blackbloom Bog;00;06;02;02;00;06;06;00;00;00;48
