player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Black Lotus;Black Lotus;Elemental Eruption;00;06;06;03;03;02;03;06;02;03;03;06;105
thiefAaron;Mana Crypt;Isochron Scepter;Lightning Helix;00;00;00;03;03;00;03;00;00;03;00;00;105
Silver Seraph;Black Lotus;Rhonas's Last Stand;Crashing Footfalls;00;06;00;03;03;00;03;06;00;01;03;03;105
lordfire;Black Lotus;Chalice of the Void;Chimeric Idol;03;03;03;00;03;03;03;00;03;03;03;03;105
hoempes;Black Lotus;Duress;Scalding Tongs;03;03;03;03;00;03;03;03;03;03;03;03;105
hug77;Black Lotus;Black Lotus;Elemental Eruption;02;06;06;03;03;00;03;06;02;03;03;06;105
lollonator;Black Lotus;Emergency Weld;The Torment of Gollum;03;03;03;03;03;03;00;03;03;03;03;03;105
BlackHole;Turntimber Symbiosis // Turntimber, Serpentine Wood;Oxidize;Crashing Footfalls;00;06;00;06;03;00;03;00;00;02;06;00;105
Master_of_Desaster;Black Lotus;Black Lotus;Elemental Eruption;02;06;06;03;03;02;03;06;00;03;03;06;105
The Beast;Chalice of the Void;Black Lotus;Altar of Bhaal // Bone Offering;03;03;04;03;03;03;03;02;03;00;03;03;105
P0LTERGEIST;Chalice of the Void;Gleeful Demolition;Mox Ruby;03;06;03;03;03;03;03;00;03;03;00;03;105
Michael W;Black Lotus;Black Lotus;Forth Eorlingas!;00;06;03;03;03;00;03;06;00;03;03;00;105
