player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Lurrus of the Dream-Den;Phyrexian Snowcrusher;00;00;00;00;06;06;00;06;04;00;69
IMP;Plains;Master Splicer;Master Splicer;06;00;00;00;00;06;00;06;04;06;69
lollonator;Black Lotus;Frost Titan;Wasteland;06;06;00;02;06;06;02;02;06;00;69
The Beast;Mishra's Workshop;Ensnaring Bridge;Scalding Tongs;06;06;02;00;06;00;02;06;02;00;69
BlackHole;Black Lotus;Replicating Ring;Rimefeather Owl;00;06;00;00;00;06;00;00;06;00;69
Michael W;The Tabernacle at Pendrell Vale;Chalice of Life // Chalice of Death;Chalice of Life // Chalice of Death;00;00;00;06;00;00;00;06;00;06;69
lordfire;Black Lotus;Frost Titan;Wasteland;06;06;02;02;06;06;00;02;06;00;69
Master_of_Desaster;Dryad Arbor;Black Lotus;Blood on the Snow;00;00;02;00;06;00;02;00;00;00;69
hug77;Arlinn, Voice of the Pack;Black Lotus;Wasteland;01;01;00;02;00;06;00;06;00;00;69
P0LTERGEIST;Black Lotus;Leyline of Anticipation;Elite Spellbinder;06;00;06;06;06;00;06;06;06;00;69
