player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Mox Ruby;Mishra's Factory;Lightning Bolt;00;06;02;00;06;06;00;02;02;02;02;02;117
Silver Seraph;Black Lotus;Preacher;Pendelhaven;00;00;00;02;02;03;06;02;02;06;00;00;117
Master_of_Desaster;Forest;Mishra's Factory;Drop of Honey;02;06;00;02;06;06;06;02;02;02;02;02;117
Schniggi;Mishra's Workshop;Yotian Soldier;Yotian Soldier;06;02;02;00;02;00;00;00;02;02;06;06;117
Sterni;Black Lotus;White Knight;Spirit Link;00;02;00;02;00;02;02;00;02;00;02;02;117
hoempes;Black Lotus;Preacher;Diamond Valley;00;03;00;06;02;00;06;00;02;06;00;00;117
BlackHole;Black Lotus;Black Lotus;Mahamoti Djinn;06;00;00;06;02;00;00;00;02;06;00;00;117
The Beast;Mishra's Factory;The Tabernacle at Pendrell Vale;Hammerheim;02;02;02;06;06;06;06;00;02;02;02;02;117
lollonator;Kird Ape;Taiga;Berserk;02;02;02;02;02;02;02;02;00;02;02;02;117
hug77;Taiga;Kird Ape;Kird Ape;02;00;02;02;06;00;00;02;02;00;06;06;117
P0LTERGEIST;Swords to Plowshares;Plains;Savannah Lions;02;06;02;00;02;06;06;02;02;00;00;02;117
Michael W;Karakas;Savannah Lions;Swords to Plowshares;02;06;02;00;02;06;06;02;02;00;02;00;117
