player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Lupine Prototype;Lupine Prototype;Lupine Prototype;00;03;00;02;02;00;00;02;00;00;00;00;159
Lord Ram;Elvish Champion;Imperious Perfect;Marwyn, the Nurturer;03;00;00;06;06;00;03;06;00;00;06;03;159
lollonator;Mayor of Avabruck;Mayor of Avabruck;Mayor of Avabruck;06;06;00;06;06;00;06;06;03;00;06;06;159
Optimiert;Burning-Tree Emissary;Burning-Tree Emissary;Thorn-Thrash Viashino;02;00;00;00;00;00;00;00;00;00;00;00;159
BlackHole;Rofellos, Llanowar Emissary;Elvish Spirit Guide;Gigantosaurus;02;00;00;06;00;00;00;00;00;00;00;03;159
Schniggi;Gwenna, Eyes of Gaea;Village Bell-Ringer;The Jolly Balloon Man;06;06;06;06;06;00;06;06;06;06;06;06;159
Michael W;Slumbering Trudge;Slumbering Trudge;Ghalta, Primal Hunger;06;03;00;06;06;00;00;02;00;00;00;06;159
Daeron;Ambush Viper;Patient Naturalist;Glissa Sunslayer;02;00;00;06;06;00;02;00;00;02;06;00;159
Silver Seraph;Devoted Druid;Quillspike;Kazandu Tuskcaller;06;06;03;06;06;00;06;06;00;06;06;06;159
Master_of_Desaster;Elvish Herder;Devoted Druid;Quillspike;06;06;06;06;06;00;06;02;00;00;02;06;159
hug77;Sylvan Safekeeper;Devoted Druid;Quillspike;06;00;00;06;06;00;06;00;00;02;00;06;159
The Beast;Tinder Wall;Reclamation Sage;Stingerback Terror;06;03;00;06;03;00;00;06;00;00;00;00;159
