player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;00;00;06;02;00;02;06;06;02;06;00;96
Silver Seraph;Dryad Arbor;Force of Will;Snapback;06;00;06;06;02;00;00;00;06;06;00;96
BlackHole;Plains;Tethered Griffin;Ethereal Armor;00;00;00;00;00;04;02;00;00;00;04;96
lordfire;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;02;00;06;00;00;02;06;06;02;06;00;96
lollonator;Memnite;Force of Will;Snapback;06;02;06;06;00;00;00;00;06;02;00;96
Michael W;Leyline of the Meek;Chancellor of the Forge;Chancellor of the Forge;02;06;01;02;06;00;00;00;02;00;00;96
The Beast;Forest;Old-Growth Dryads;Old-Growth Dryads;00;06;02;00;06;06;00;00;00;00;00;96
hug77;Bayou;Swarm Shambler;Dread Fugue;00;06;06;00;06;06;06;00;00;01;06;96
Master_of_Desaster;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;02;00;06;02;00;02;06;06;00;06;00;96
Sterni;Cenn's Tactician;Portable Hole;Karakas;00;00;06;00;02;06;06;04;00;00;06;96
P0LTERGEIST;Forest;Old-Growth Dryads;Crashing Footfalls;06;06;01;06;06;06;06;00;06;00;00;96
