player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Force of Will;Progenitus;Meddling Mage;00;00;06;06;06;06;02;06;06;03;06;00;50
SoulCollector;Smallpox;Basking Rootwalla;Blazing Rootwalla;06;00;00;02;00;00;02;00;06;00;00;00;50
IMP;Pact of Negation;Kiki-Jiki, Mirror Breaker;Deceiver Exarch;00;06;00;06;00;00;06;06;06;00;00;00;50
NumiChan;Misthollow Griffin;Force of Will;Helix Pinnacle;00;02;00;00;00;00;02;00;06;00;00;00;50
Michael W;Ulamog, the Infinite Gyre;Time Vault;Voltaic Key;00;06;06;06;00;06;02;00;06;00;03;06;50
BlackHole;Lion's Eye Diamond;Unburial Rites;Iona, Shield of Emeria;00;06;06;06;00;00;06;00;06;06;06;06;50
Kratos Aurion;Force of Will;Misthollow Griffin;Apocalypse;02;02;00;02;02;00;00;02;06;00;02;00;50
lollonator;Piracy Charm;Force of Will;Ant Queen;00;06;00;06;06;06;02;00;06;00;06;00;50
The green one;Ceremonious Rejection;Island;Ferropede;00;00;00;00;00;00;00;00;00;00;00;00;50
P0LTERGEIST;Meddling Mage;Meddling Mage;Nicol Bolas, Dragon-God;03;06;06;06;06;00;06;06;06;00;06;06;50
Bongoking;Time Vault;Manifold Key;Thrun, the Last Troll;00;06;06;06;03;00;02;00;06;00;00;00;50
hug77;Smallpox;Ulamog, the Infinite Gyre;Sneak Attack;06;06;06;06;00;00;06;06;06;00;06;00;50
