player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Mishra's Workshop;Lodestone Golem;Moltensteel Dragon;00;06;03;06;06;06;03;06;06;06;06;00;06;2
Pepega;Grove of the Burnwillows;Kavu Predator;Punishing Fire;00;00;00;06;00;00;03;06;00;00;00;00;00;2
Hasran Ogress;Cavern of souls;Vampire hexmage;Dark Depths;03;06;00;06;00;06;00;00;06;06;00;02;00;2
Kratos Aurion;Saprazzan Cove;Lighthouse Chronologist;Reality Strobe;00;00;00;00;00;00;00;06;00;00;00;00;00;2
Haakon, Geißel der anderen;Crashing Footfalls;Crashing Footfalls;Wasteland;00;06;06;06;00;06;06;06;00;06;06;06;06;2
Necronlord;Inkmoth Nexus;Slimebind;Force of Will;00;06;00;06;00;00;03;00;00;00;00;00;06;2
thiefAaron;Inkmoth Nexus;Phyrexian Revoker;Alpine Moon;03;03;06;06;00;03;00;03;00;00;06;04;06;2
NumiChan;Cavern of Souls;Thalia, Guardian of Thraben;Phyrexian Revoker;00;00;06;00;00;06;03;00;00;06;00;00;06;2
the green one;Thalia, Guardian of Thraben;Mayor of Avabruck;Cavern of Souls;00;06;00;06;06;06;06;06;00;06;06;00;06;2
Bongoking;Flash;Worldspine Wurm;Boseiju, Who Shelters All;00;06;00;06;00;06;06;00;00;00;00;00;06;2
Yet_another_Geron;Wasteland;Mishra's Factory;Mishra's Factory;00;06;06;06;00;06;00;06;00;06;00;06;03;2
Yaloron;Wasteland;The Tabernacle at Pendrell Vale;Mishra's Factory;06;06;02;06;00;06;01;06;06;06;00;00;00;2
Master_of_Desaster;Witch's Oven;Cauldron Familiar;Claim the Firstborn;00;06;06;06;00;00;00;00;00;00;03;06;00;2
