player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Anurid Scavenger;Black Lotus;Misguided Rage;00;06;00;06;06;00;06;06;00;00;4
hoempes;Mishra's Factory;Wasteland;Meekstone;00;00;06;00;02;06;00;00;02;02;4
NumiChan;Dryad Arbor;Slippery Bogle;Force of Will;06;00;00;02;06;02;01;03;00;06;4
Hasran Ogress;Mishra's Workshop;Ensnaring Bridge;Walking Ballista;00;06;02;00;02;02;06;02;02;02;4
lollonator;Maze of Ith;Urborg, Tomb of Yawgmoth;Shrieking Affliction;00;02;00;02;00;02;02;02;02;00;4
The green one;Urborg, Tomb of Yawgmoth;The Tabernacle at Pendrell Vale;Vault Skirge;06;00;02;02;02;00;03;00;02;06;4
thiefAaron;Karakas;Speaker of the Heavens;Vault Skirge;00;06;04;00;02;03;00;06;02;06;4
BlackHole;Black Lotus;Gideon of the Trials;Memnite;00;06;03;02;02;06;00;00;06;01;4
Haakon, Geißel der anderen;The Tabernacle at Pendrell Vale;Mishra's Factory;Wasteland;06;02;06;02;02;02;02;00;00;06;4
Master_of_Desaster;Black Lotus;Troll Ascetic;Phyrexian Revoker;06;02;00;02;06;00;00;04;00;00;4
