player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;round
Namse;Pact of Negation;Stifle;Chancellor of the Forge;00;06;00;06;00;00;00;06;00;06;06;06;00;06;13
P0LTERGEIST;Grand Arbiter Augustin IV;Leyline of Anticipation;Black Lotus;00;00;06;06;00;06;06;02;00;00;02;06;06;00;13
lollonator;Swamp;Tidehollow Sculler;Vault Skirge;06;00;00;03;06;03;03;04;03;03;00;03;03;03;13
BlackHole;Lion's Eye Diamond;Unburial Rites;Iona, Shield of Emeria;00;00;03;00;00;06;03;00;03;00;00;00;03;00;13
The Beast;Chancellor of the Forge;Chancellor of the Forge;Spell Pierce;06;06;00;06;00;00;00;06;00;06;06;06;00;06;13
Michael W;Mayor of Avabruck;Cavern of Souls;Pithing Needle;06;00;03;00;06;00;03;00;06;06;00;04;06;06;13
hoempes;Mishra's Workshop;Lodestone Golem;Trinisphere;06;00;03;03;06;03;00;02;00;06;00;03;03;03;13
The green one;Mishras Workshop;Ensnaring Bridge;Darksteel Reactor;00;02;01;06;00;06;02;00;00;06;06;00;06;06;13
»Arcanis«;Mishra's Workshop;Lux Cannon;Chimeric Idol;06;06;03;03;06;00;06;06;00;00;00;00;00;06;13
hug77;Shelldock Isle;Lions Eye Diamond;Emrakul, the AEons Torn;00;06;03;06;00;00;00;00;06;00;06;01;03;00;13
Hasran Ogress;Black Lotus;Leyline of Anticipation;Court of Grace;00;02;06;06;00;06;06;00;06;00;00;02;06;06;13
Master_of_Desaster;Black Lotus;Black Lotus;Karn Liberated;00;00;03;06;00;01;03;06;06;04;02;00;04;02;13
thiefAaron;Dark Depths;Cavern of Souls;Vampire Hexmage;06;00;03;03;06;00;03;00;06;03;00;01;00;00;13
Bongoking;Phylactery Lich;Black Lotus;Karakas;00;06;03;06;00;00;03;00;00;06;00;02;06;00;13
