player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Bitterblossom;Skrelv's Hive;Goblin Bombardment;00;00;00;00;00;00;03;03;00;00;125
Michael W;Kiora Bests the Sea God;Tinybones Joins Up;Starfield of Nyx;06;00;00;03;03;02;00;03;00;03;125
Schniggi;Archon of Valor's Reach;Scurry Oak;Rosie Cotton of South Lane;06;06;00;06;06;00;06;06;06;06;125
BlackHole;Cloudshredder Sliver;Predatory Sliver;Diffusion Sliver;06;03;00;00;00;00;03;00;00;00;125
Daeron;Black Lotus;Black Lotus;Blightsteel Colossus;06;03;00;06;00;00;00;06;00;06;125
Silver Seraph;Masterful Replication;Force of Will;Misdirection;06;02;06;06;06;00;03;06;02;00;125
Master_of_Desaster;Oko, Thief of Crowns;Davriel, Rogue Shadowmage;Ashiok, Nightmare Muse;03;06;00;03;06;03;00;03;03;00;125
The Beast;Loyal Retainers;Sibsig Icebreakers;Valgavoth, Terror Eater;03;03;00;06;00;00;03;00;06;06;125
hug77;Brutal Cathar;Scalding Viper;Old-Growth Dryads;06;06;00;06;06;02;03;00;00;02;125
Sterni;Lupine Prototype;Lupine Prototype;Lupine Prototype;06;03;00;06;00;06;06;00;02;00;125
