player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Academy Ruins;Izzet Boilerworks;Implement of Combustion;00;00;00;06;00;06;06;06;06;06;75
lollonator;Lotus Bloom;Aether Vial;Gigantomancer;06;00;00;06;02;06;00;06;00;00;75
Kratos Aurion;Cabal Pit;Carnophage;Carnophage;06;06;00;06;02;06;06;06;06;06;75
Michael W;Teferi's Isle;Mana Vault;Darksteel Reactor;00;00;00;00;00;03;00;00;00;00;75
BlackHole;Brass Man;Timberline Ridge;Battle of Wits;06;02;02;06;00;06;06;06;06;06;75
hug77;Teferi's Isle;Mana Vault;Darksteel Reactor;00;00;00;03;00;00;00;00;00;00;75
lordfire;Wrenn and Six;Grove of the Burnwillows;Grove of the Burnwillows;00;06;00;06;00;06;00;06;06;06;75
Master_of_Desaster;Rainbow Vale;Sol Talisman;Copper Tablet;00;00;00;06;00;06;00;00;02;02;75
P0LTERGEIST;Sulfuric Vortex;Karplusan Forest;Izzet Boilerworks;00;06;00;06;00;06;00;02;00;02;75
The Beast;Dormant Volcano;Molten Tributary;Sulfuric Vortex;00;06;00;06;00;06;00;02;02;00;75
