player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Lurrus of the Dream-Den;Liliana of the Veil;00;02;02;02;06;04;02;01;02;02;02;14
Michael W;Elephant Graveyard;The Tabernacle at Pendrell Vale;Mishra's Factory;02;00;06;02;06;02;00;06;01;02;01;14
hoempes;Force of Will;Misthollow Griffin;Sand Silos;02;00;00;02;06;00;02;02;02;02;02;14
»Arcanis«;Black Lotus;Lurrus of the Dream-Den;Liliana of the Veil;02;02;02;00;06;04;02;01;02;02;02;14
lollonator;Anurid Scavenger;Black Lotus;Misguided Rage;00;00;00;00;00;01;06;01;00;00;00;14
The green one;Urborg, Tomb of Yawgmoth;The Tabernacle at Pendrell Vale;Snuff Out;01;02;06;01;04;00;00;02;01;01;02;14
Master_of_Desaster;Mishra's Workshop;Ensnaring Bridge;Scalding Tongs;02;06;02;02;00;06;00;04;00;02;06;14
The Beast;Black Lotus;Dryad Arbor;Archmage's Charm;04;00;02;04;04;02;01;00;04;04;02;14
P0LTERGEIST;Lurrus of the Dream-Den;Black Lotus;Council's Judgment;02;04;02;02;06;04;06;01;00;02;02;14
hug77;Black Lotus;Liliana of the Veil;Lurrus of the Dream-Den;02;02;02;02;06;04;02;01;02;00;02;14
Hasran Ogress;The Tabernacle at Pendrell Vale;City of Traitors;Lupine Prototype;02;04;02;02;06;02;00;02;02;02;00;14
