player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;City of Traitors;Isochron Scepter;Guerrilla Tactics;00;02;03;00;06;06;00;00;06;8
Hasran Ogress;Karakas;Aether Vial;Mangara of Corondor;02;00;00;06;06;06;06;00;06;8
NumiChan;City of Traitors;Phyrexian Dreadnought;Eldrazi Mimic;03;06;00;03;06;06;03;00;06;8
Master_of_Desaster;Subterranean Hangar;Dark Depths;Vampire Hexmage;06;00;03;00;06;06;02;00;06;8
hoempes;Fountain of Cho;Gideon of the Trials;Gideon, Ally of Zendikar;00;00;00;00;00;06;00;03;06;8
lollonator;Aether Hub;Goblin Guide;Flayer Husk;00;00;00;00;00;00;00;00;00;8
The Beast;Dreadship Reef;Thespian's Stage;Dark Depths;06;00;03;02;06;06;00;06;06;8
hug77;City of Traitors;Mana Vault;Thought-Knot Seer;06;06;06;06;03;06;00;00;06;8
the green one;City of Traitors;Ichorclaw Myr;Neglected Heirloom;00;00;00;00;00;06;00;00;00;8
