player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Black Lotus;Vraska, Relic Seeker;00;00;00;06;06;00;00;00;06;06;00;92
lordfire;Black Lotus;Black Lotus;Garruk, Cursed Huntsman;06;00;01;06;06;03;03;01;06;06;03;92
Michael W;Hagra Mauling // Hagra Broodpit;Black Lotus;Anointed Peacekeeper;06;04;00;04;06;04;04;03;04;02;04;92
IMP;Lion's Eye Diamond;Big Game Hunter;Gorgon Recluse;00;00;01;00;02;00;00;03;02;02;00;92
lollonator;Forest;Young Wolf;Berserk;00;00;00;02;00;00;00;02;00;00;00;92
Silver Seraph;Black Lotus;Black Lotus;Garruk, Cursed Huntsman;06;03;01;06;06;00;03;01;06;06;03;92
hug77;Black Lotus;Black Lotus;Garruk, Cursed Huntsman;06;03;01;06;06;03;00;01;06;06;03;92
BlackHole;Black Lotus;Phyrexian Revoker;Cut Down;06;04;03;03;02;04;04;00;04;00;04;92
Master_of_Desaster;Hagra Mauling // Hagra Broodpit;Black Lotus;Nullhide Ferox;00;00;01;02;06;00;00;01;00;02;00;92
The Beast;Bayou;Wretched Banquet;Crashing Footfalls;00;00;02;02;06;00;00;06;02;00;00;92
P0LTERGEIST;Black Lotus;Black Lotus;Garruk, Cursed Huntsman;06;03;01;06;06;03;03;01;06;06;00;92
