player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;Black Lotus;Sunken Ruins;Oildeep Gearhulk;00;03;03;03;06;03;03;03;03;124
Schniggi;Black Lotus;Riverpyre Verge;Minsc & Boo, Timeless Heroes;03;00;03;02;06;03;03;03;03;124
Michael W;Oildeep Gearhulk;Black Lotus;Sunken Ruins;03;03;00;03;06;03;03;03;03;124
Silver Seraph;Karakas;Basri, Tomorrow's Champion;Maze of Ith;03;02;03;00;06;02;03;02;06;124
lollonator;City of Traitors;Guidelight Matrix;Consulate Dreadnought;00;00;00;00;00;00;00;00;00;124
Master_of_Desaster;Black Lotus;Momentum Breaker;Vampire of the Dire Moon;03;03;03;02;06;00;03;02;01;124
The Beast;Black Lotus;Black Lotus;Oildeep Gearhulk;03;03;03;03;06;03;00;03;03;124
hug77;Mox Jet;Mishra's Factory;Momentum Breaker;03;03;03;02;06;02;03;00;01;124
BlackHole;Black Lotus;Leonin Squire;Ripclaw Wrangler;03;03;03;00;06;04;03;04;00;124
