player;card_1;card_2;card_3;card_4;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Rotting Regisaur;Rotting Regisaur;Rotting Rats;(Zombie);0;0;2;3;2;0;0;0;3;0;0;149
Michael W;Mutavault;Yidaro, Wandering Monster;Colossal Skyturtle;(Turtle);6;0;0;6;4;3;6;0;6;6;0;149
BlackHole;Plague Engineer;Plague Engineer;Plague Engineer;(Carrier);2;6;0;0;2;0;6;0;6;6;0;149
Schniggi;Riling Dawnbreaker // Signaling Roar;Disruptive Stormbrood // Petty Revenge;Rivaz of the Claw;(Dragon);3;0;6;0;1;0;6;0;6;6;6;149
lollonator;Cavern of Souls;Boldwyr Heavyweights;Bonecrusher Giant // Stomp;(Giant);2;1;2;4;0;0;3;0;6;6;0;149
Silver Seraph;Aang, Swift Savior // Aang and La, Ocean's Fury;Biting-Palm Ninja;Reflector Mage;(Human);6;3;6;6;6;0;6;6;6;4;2;149
Optimiert;Kellan, the Kid;Bitterblossom;Brazen Borrower;(Faerie);6;0;0;0;3;0;0;0;6;6;0;149
The Beast;Gatekeeper of Malakir;Sorin, Imperious Bloodlord;Vein Ripper;(Vampire);6;6;6;6;6;0;6;0;6;2;0;149
The green one;Fable of the Mirror-Breaker // Reflection of Kiki-Jiki;General Kreat, the Boltbringer;Krenko, Tin Street Kingpin;(Goblins);3;0;0;0;0;0;0;0;0;1;0;149
Master_of_Desaster;Valki, God of Lies // Tibalt, Cosmic Impostor;Mutavault;God-Eternal Kefnet;(God);6;0;0;0;0;1;0;2;4;0;0;149
hug77;Brutal Cathar // Moonrage Brute;Anointed Peacekeeper;Heartflame Duelist // Heartflame Slash;(Human);6;6;6;0;6;2;6;6;6;6;0;149
