player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;City of Traitors;Lion's Eye Diamond;Abomination, World Ravager;00;00;00;00;00;00;00;02;06;00;160
Schniggi;Black Lotus;Klaw, Sonic Subjugator;Aether Channeler;06;00;02;06;01;00;02;06;02;03;160
lollonator;Karakas;Agent Maria Hill;Helicarrier Strike;06;02;00;02;00;02;00;02;02;02;160
Michael W;Karakas;Mishra's Factory;Murdock's Crusade;06;00;02;00;00;06;02;06;06;06;160
Silver Seraph;Karakas;Black Lotus;Kimoyo Beads;06;04;06;06;00;02;06;06;06;03;160
hug77;Karakas;The Tabernacle at Pendrell Vale;Crowd of True Believers;06;06;02;00;02;00;00;02;06;02;160
BlackHole;Maze of Ith;Fountain of Cho;Galactus, Devourer of Worlds;06;02;06;02;00;06;00;00;00;02;160
Lord Ram;Black Lotus;Black Lotus;The Coming of Galactus;02;00;02;00;00;02;06;00;06;00;160
Optimiert;Black Lotus;Titania, Rugged Rumbler;Basking Rootwalla;00;02;02;00;00;00;06;00;00;03;160
Master_of_Desaster;Black Lotus;Doomfall;Dryad Arbor;06;03;02;00;03;02;02;06;03;00;160
