player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Tinybones Joins Up;Yoshimaru, Ever Faithful;Valentin, Dean of the Vein // Lisette, Dean of the Root;00;00;03;00;06;06;06;01;03;03;150
Silver Seraph;Black Lotus;Tinybones, the Pickpocket;Geyadrone Dihada;06;00;00;00;06;06;06;03;00;00;150
Michael W;Black Lotus;Goblin Bombardment;Ajani, Nacatl Pariah // Ajani, Nacatl Avenger;03;06;00;00;06;03;06;03;03;00;150
Schniggi;Black Lotus;Leyline of Anticipation;Grand Arbiter Augustin IV;06;06;06;00;06;06;06;00;06;06;150
Optimiert;Undiscovered Paradise;Adelbert Steiner;Adventuring Gear;00;00;00;00;00;00;00;00;00;00;150
BlackHole;City of Traitors;Anafenza, the Foremost;Kalakscion, Hunger Tyrant;00;00;03;00;06;00;06;03;00;00;150
lollonator;Plains;Fragmentize;Ajani, Nacatl Pariah // Ajani, Nacatl Avenger;00;00;00;00;06;00;00;00;00;00;150
hug77;City of Traitors;Ajani, Nacatl Pariah // Ajani, Nacatl Avenger;Brimaz, King of Oreskos;04;03;03;06;06;03;06;00;03;00;150
The Beast;Black Lotus;Ajani, Nacatl Pariah // Ajani, Nacatl Avenger;Arahbo, the First Fang;03;06;03;00;06;06;06;03;00;00;150
Master_of_Desaster;Black Lotus;Black Lotus;Koma, World-Eater;03;06;06;00;06;06;06;06;06;00;150
