player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Eiganjo Castle;Basri, Tomorrow's Champion;Kytheon, Hero of Akros // Gideon Battle-Forged;00;02;06;02;06;06;06;06;02;06;06;152
Michael W;Flagstones of Trokair;Basri, Tomorrow's Champion;Kytheon, Hero of Akros // Gideon Battle-Forged;02;00;06;02;06;06;06;06;02;06;06;152
Schniggi;Tinybones Joins Up;Cecil, Dark Knight // Cecil, Redeemed Paladin;Tomb of Urami;00;00;00;03;06;06;06;00;00;02;02;152
Silver Seraph;Phyrexian Tower;Rat King, Verminister;Rograkh, Son of Rohgahh;02;02;03;00;02;06;06;06;02;03;02;152
BlackHole;Pendelhaven;Yavimaya Hollow;Wilson, Refined Grizzly;00;00;00;02;00;03;02;06;03;00;00;152
Optimiert;Dark Depths;Urborg, Tomb of Yawgmoth;The Tabernacle at Pendrell Vale;00;00;00;00;03;00;00;06;00;00;00;152
Sterni;Eiganjo Castle;Eiganjo, Seat of the Empire;Ajani, Nacatl Pariah;00;00;00;00;02;06;00;00;00;00;00;152
hug77;Teferi's Isle;Malcolm, Alluring Scoundrel;Emrakul, the Aeons Torn;00;00;06;00;00;00;06;00;06;06;03;152
lollonator;Eiganjo Castle;Isamaru, Hound of Konda;Basri, Tomorrow's Champion;02;02;06;02;03;06;06;00;00;06;06;152
The Beast;Tinybones Joins Up;Cecil, Dark Knight // Cecil, Redeemed Paladin;Takenuma, Abandoned Mire;00;00;02;03;06;06;06;00;00;00;02;152
Master_of_Desaster;Urborg;Cecil, Dark Knight // Cecil, Redeemed Paladin;Tinybones, the Pickpocket;00;00;02;02;06;06;06;03;00;02;00;152
