player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Black Lotus;Demonic Covenant;00;06;06;06;06;06;03;06;06;06;115
Silver Seraph;Wasteland;Black Lotus;Overlord of the Mistmoors;00;00;06;06;06;06;00;06;06;06;115
Master_of_Desaster;Hushwood Verge;Mishra's Factory;Drop of Honey;00;00;00;00;00;06;00;06;02;00;115
lollonator;Karakas;Isamaru, Hound of Konda;Unwanted Remake;00;00;06;00;00;06;00;06;00;06;115
BlackHole;Black Lotus;Unstoppable Slasher;Wasteland;00;00;06;06;00;06;00;06;06;02;115
The Beast;Sandstone Needle;Cavern of Souls;Star Athlete;00;00;00;00;00;00;00;01;00;00;115
hug77;Black Lotus;Black Lotus;Demonic Covenant;03;06;06;06;06;06;00;06;06;06;115
The green one;Black Lotus;Twitching Doll;Lost Jitte;00;00;00;00;00;04;00;00;00;00;115
P0LTERGEIST;Crashing Footfalls;Unwanted Remake;Savannah;00;00;02;06;00;06;00;06;00;06;115
Michael W;Razorkin Hordecaller;Black Lotus;City of Traitors;00;00;06;00;02;06;00;06;00;00;115
