player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Wasteland;Plains;Isamaru, Hound of Konda;00;02;06;06;06;02;02;02;02;02;00;26
Master_of_Desaster;Urborg, Tomb of Yawgmoth;The Tabernacle at Pendrell Vale;Aphemia, the Cacophony;02;00;06;06;06;00;02;02;02;02;00;26
BlackHole;Jeweled Lotus;Lion's Eye Diamond;Iona, Shield of Emeria;00;00;00;04;06;06;00;00;06;03;00;26
thiefAaron;Saprazzan Cove;Fierce Guardianship;Dragonlord Silumgar;00;00;01;00;02;01;00;00;00;01;06;26
Michael W;Cavern of Souls;Rampaging Ferocidon;Ashling the Pilgrim;00;00;00;02;00;02;06;00;00;00;00;26
The Beast;Rushwood Grove;Beast Within;Thrun, the Last Troll;02;06;00;04;02;00;06;00;06;00;06;26
hug77;Snapback;Black Lotus;Kira, Great Glass-Spinner;02;02;06;06;00;00;00;02;06;06;06;26
P0LTERGEIST;Ensnaring Bridge;Scalding Tongs;Hope of Ghirapur;02;02;06;06;06;06;02;00;02;03;00;26
lollonator;Wasteland;Detention Vortex;Isamaru, Hound of Konda;02;02;00;06;06;00;00;02;00;00;06;26
The green one;Wasteland;Bounty Agent;Thalia, Guardian of Thraben;02;02;03;04;06;06;00;03;06;00;02;26
NumiChan;Mox Pearl;Leyline of Anticipation;Grand Arbiter Augustin IV;06;06;06;00;06;00;00;06;00;02;00;26
