player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Undiscovered Paradise;Sazh's Chocobo;Lightstall Inquisitor;00;00;00;06;00;02;06;02;06;02;146
Schniggi;Eumidian Hatchery;Wasteland;Maze of Ith;06;00;02;06;02;06;00;02;06;06;146
Silver Seraph;Eumidian Hatchery;Wasteland;Cecil, Dark Knight // Cecil, Redeemed Paladin;06;02;00;06;06;06;00;06;06;06;146
BlackHole;Karakas;Mox Sapphire;Meddling Mage;00;00;00;00;02;03;00;00;01;03;146
Michael W;The Tabernacle at Pendrell Vale;Karakas;Mishra's Factory;06;02;00;02;00;02;00;02;02;00;146
lollonator;Piracy Charm;Snow-Covered Island;Icehide Golem;02;00;00;03;02;00;00;02;02;06;146
Master_of_Desaster;Forest;Durkwood Baloth;Crashing Footfalls;00;06;06;06;06;06;00;00;06;06;146
hug77;Leyline of Singularity;Karakas;Mishra's Factory;02;02;00;06;02;02;06;00;06;00;146
The Beast;Karakas;Student of Warfare;Ivory Giant;00;00;00;04;02;02;00;00;00;03;146
Optimiert;Wasteland;Inkmoth Nexus;Karakas;02;00;00;03;06;00;00;06;03;00;146
