player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Leyline of the Guildpact;City of Traitors;Scion of Draco;00;03;06;03;06;00;00;06;03;06;03;06;06;101
Silver Seraph;Black Lotus;The Modern Age // Vector Glider;Chain of Vapor;03;00;02;01;03;02;02;06;06;06;01;06;06;101
lordfire;Swamp;Divest;Nullhide Ferox;00;02;00;02;01;00;00;00;01;00;02;00;01;101
Michael W;Swamp;Hopeless Nightmare;Nullhide Ferox;03;04;02;00;03;00;06;06;06;06;02;06;06;101
BlackHole;Phyrexia's Core;Mana Crypt;Mana Crypt;00;03;04;03;00;03;06;06;06;06;03;06;06;101
hug77;Shelldock Isle;Lion's Eye Diamond;Emrakul, the Aeons Torn;06;02;06;06;03;00;02;06;06;00;06;06;02;101
lollonator;Inkmoth Nexus;Wasteland;The Tabernacle at Pendrell Vale;06;02;06;00;00;02;00;02;06;06;00;02;04;101
Daeron;Cathedral of War;Inkmoth Nexus;Warping Wail;00;00;06;00;00;00;02;00;06;06;00;06;06;101
IMP;Black Lotus;Black Lotus;Vraska the Unseen;03;00;04;00;00;00;00;00;00;06;00;06;06;101
Bongoking;Chancellor of the Forge;Karakas;Leyline of Singularity;00;00;06;00;00;06;00;00;00;00;00;00;02;101
The Beast;Swamp;Nullhide Ferox;Hopeless Nightmare;03;04;02;02;03;00;06;06;06;06;00;06;06;101
Master_of_Desaster;Saprazzan Cove;Illusions of Grandeur;Capsize;00;00;06;00;00;00;02;00;00;06;00;00;06;101
P0LTERGEIST;Karakas;Cenn's Tactician;Skrelv, Defector Mite;00;00;04;00;00;02;01;00;00;02;00;00;00;101
