player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Copperline Gorge;Crashing Footfalls;Crack the Earth;00;04;00;00;00;00;06;06;01;02;03;06;22
Michael W;Mishra's Workshop;Mishra's Workshop;Myr Turbine;01;00;00;06;00;00;06;00;00;03;03;06;22
NumiChan;Mox Pearl;Mox Sapphire;Meddling Mage;06;06;00;03;03;03;00;06;06;00;03;00;22
The Beast;City of Traitors;Chalice of the Void;Cryptic Trilobite;06;00;03;00;03;03;06;00;06;06;06;06;22
hug77;Brudiclad Telchor Engineer;Black Lotus;Black Lotus;06;06;03;03;00;01;06;06;06;00;06;06;22
Hoempes;Mayor of Avabruck;Mishra's Factory;Mox Emerald;06;06;03;03;04;00;06;06;06;06;06;06;22
Vhaleru;Mishra's Factory;Mishra's Factory;Mishra's Factory;00;00;06;00;00;00;00;06;00;01;02;02;22
The green one;Peat Bog;Plague Stinger;Phyrexian Revoker;00;06;00;06;00;00;00;00;00;00;00;00;22
thiefAaron;Cragcrown Pathway // Timbercrown Pathway;Crashing Footfalls;Crashing Footfalls;04;06;00;00;00;00;06;06;00;06;03;06;22
Master_of_Desaster;City of Brass;Crashing Footfalls;Chain of Vapor;02;03;06;00;06;00;04;06;00;00;03;04;22
lollonator;Okina, Temple to the Grandfathers;Old-Growth Dryads;Old-Growth Dryads;03;03;03;00;00;00;02;06;03;03;00;02;22
P0LTERGEIST;Mishra's Factory;Mishra's Factory;Mishra's Factory;00;00;06;00;00;00;02;06;00;01;02;00;22
