player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Black Lotus;Mox Sapphire;Mechanized Production;00;03;00;06;06;06;06;00;03;06;03;06;54
Michael W;Island;Mana Crypt;Donate;03;00;06;00;00;06;06;06;03;00;03;06;54
SoulCollector;Subterranean Hangar;Cruel Reality;Feed the Swarm;06;00;00;02;06;00;03;00;00;02;00;06;54
The Beast;Leyline of Sanctity;Subterranean Hangar;Palace Siege;00;06;02;00;00;02;00;00;02;06;02;06;54
BlackHole;Leyline of Sanctity;Fountain of Cho;Approach of the Second Sun;00;06;00;06;00;02;00;00;02;06;02;06;54
Master_of_Desaster;Mishra's Workshop;Pithing Needle;Scalding Tongs;00;00;06;02;02;00;00;06;06;00;06;06;54
lollonator;Bottomless Vault;Torment of Hailfire;Sanctum of Stone Fangs;00;00;03;06;06;06;00;03;00;06;00;06;54
Kratos Aurion;Rushwood Grove;Boseiju, Who Endures;Darksteel Reactor;06;00;06;06;06;00;03;00;00;06;00;06;54
hug77;Black Lotus;Davriel, Rogue Shadowmage;Wasteland;03;03;06;02;02;00;06;06;00;02;03;06;54
Bongoking;Sanctum of Stone Fangs;Black Lotus;Leyline of Sanctity;00;06;02;00;00;06;00;00;02;00;02;06;54
P0LTERGEIST;Black Lotus;Davriel, Rogue Shadowmage;Wasteland;03;03;06;02;02;00;06;06;03;02;00;06;54
IMP;Helix Pinnacle;Boseiju, Who Endures;Okina, Temple to the Grandfathers;00;00;00;00;00;00;00;00;00;00;00;00;54
