player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Vodalian Hexcatcher;Triton Shorestalker;00;00;00;00;04;00;06;03;00;03;00;61
Master_of_Desaster;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;06;00;00;02;06;02;06;06;00;06;06;61
Michael W;Idyllic Beachfront;The Tabernacle at Pendrell Vale;Mishra's Factory;06;06;00;06;02;06;06;06;00;00;00;61
The Beast;Black Lotus;Aether Channeler;Leyline of Anticipation;06;02;00;00;06;02;00;06;00;00;00;61
Kratos Aurion;Black Lotus;Descent into Avernus;Prayer of Binding;01;00;02;00;00;00;02;02;00;00;00;61
lollonator;Black Lotus;Leyline of Anticipation;Anointed Peacekeeper;06;02;00;02;06;00;06;06;00;06;06;61
pianotoad;Peat Bog;Pilfer;Tribute to Horobi // Echo of Death's Wail;00;00;00;06;02;00;00;06;06;06;06;61
BlackHole;Underground Sea;Daze;Evolved Sleeper;03;00;00;00;02;00;00;00;00;00;00;61
hug77;Dwarven Hold;Shivan Devastator;Maze of Ith;06;06;06;06;06;06;00;06;00;00;02;61
IMP;Eldrazi Conscription;Danitha, Benalia's Hope;Icatian Store;03;00;06;06;06;00;00;06;06;00;00;61
P0LTERGEIST;Subterranean Hangar;Umbral Juke;Evolved Sleeper;06;00;06;06;06;00;00;06;02;06;00;61
