player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Serra Ascendant;Lightning Bolt;Plateau;00;00;00;06;00;00;00;02;06;02;02;53
Kratos Aurion;Black Lotus;Trinisphere;Dryad Arbor;06;00;03;00;02;00;00;02;00;00;03;53
BlackHole;Black Lotus;Death's Shadow;Distress;06;03;00;00;03;02;00;00;00;00;03;53
IMP;The Tabernacle at Pendrell Vale;Desert;Inkmoth Nexus;00;06;06;00;06;00;00;06;00;02;00;53
lollonator;Mishra's Workshop;Trinisphere;Chalice of Life // Chalice of Death;06;02;03;00;00;02;00;00;00;00;03;53
Master_of_Desaster;Mishra's Workshop;Ensnaring Bridge;Scalding Tongs;06;06;02;06;02;00;06;01;06;00;00;53
Michael W;Chancellor of the Dross;Serra Ascendant;Cavern of Souls;06;06;06;06;06;00;00;06;06;00;06;53
hug77;Force of Will;Snapback;Chancellor of the Forge;02;02;06;00;06;04;00;00;06;06;00;53
The green one;Serra Ascendant;Mox Pearl;Leyline of Anticipation;00;06;06;06;06;00;00;00;00;02;00;53
The Beast;Leyline of Anticipation;Black Lotus;Elite Spellbinder;02;06;06;02;06;06;06;00;02;00;00;53
P0LTERGEIST;Pact of Negation;Gideon of the Trials;Black Lotus;02;03;03;06;03;06;00;06;06;06;00;53
