player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Misdirection;Crashing Footfalls;Forest;00;06;06;06;06;06;06;06;02;06;99
BlackHole;Unburial Rites;Iona, Shield of Emeria;Plains;00;00;03;04;03;06;06;00;06;00;99
The Beast;Unburial Rites;Serra's Emissary;Plains;00;03;00;06;03;06;00;03;00;03;99
Silver Seraph;Minsc & Boo, Timeless Heroes;Mental Misstep;Forest;00;01;00;00;06;00;06;06;06;06;99
lollonator;Funeral Charm;Rimebound Dead;Snow-Covered Swamp;00;03;03;00;00;00;02;03;01;03;99
hug77;Anointed Peacekeeper;Brutal Cathar;Plains;00;00;00;06;06;00;06;00;06;00;99
Michael W;Pick your Poison;Dismember;Forest;00;00;06;00;02;00;00;00;00;00;99
P0LTERGEIST;Black Lotus;Karn Liberated;Wastes;00;06;03;00;03;06;06;00;06;03;99
Sterni;Crashing Footfalls;Pick your Poison;Forest;02;00;06;00;04;00;06;00;00;00;99
Master_of_Desaster;Black Lotus;Karn Liberated;Swamp;00;06;03;00;03;06;06;03;06;00;99
