player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;City of Traitors;Lotus Petal;Words of Wilding;00;06;03;03;00;03;00;00;06;06;00;141
BlackHole;Swamp;Dark Ritual;Phyrexian Negator;00;00;01;01;02;01;00;01;06;00;00;141
Silver Seraph;Ancient Tomb;Anvil of Bogardan;Nether Spirit;03;04;00;02;04;06;02;06;06;06;06;141
Michael W;Nether Spirit;City of Traitors;Anvil of Bogardan;03;04;02;00;04;06;02;06;06;06;06;141
IMP;Wasteland;Mishra's Factory;Mishra's Factory;06;02;01;01;00;06;00;06;06;06;06;141
lollonator;Swamp;Carnophage;Funeral Charm;03;04;00;00;00;00;00;06;06;01;03;141
hug77;Wasteland;Lion's Eye Diamond;Roar of the Wurm;06;06;02;02;06;06;00;06;06;01;00;141
Optimiert;Saprazzan Cove;Stifle;Phyrexian Dreadnought;06;04;00;00;00;00;00;00;06;00;00;141
Master_of_Desaster;Sandstone Needle;City of Traitors;Emberwilde Djinn;00;00;00;00;00;00;00;00;00;00;00;141
The Beast;Brushland;Nimble Mongoose;Swords to Plowshares;00;06;00;00;00;04;04;06;06;00;06;141
The green one;Island;Thought Nibbler;Sigil of Sleep;06;06;00;00;00;03;06;06;06;00;00;141
