player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Duress;Izzet Charm;Fleecemane Lion;00;00;00;00;01;01;00;00;00;03;06;144
Silver Seraph;Leyline of Mutation;Desolation Twin;Karakas;06;00;06;02;06;03;04;04;02;03;00;144
Optimiert;Mutavault;Wasteland;Cosmic Spider-Man;06;00;00;00;00;03;00;00;00;06;00;144
Schniggi;Leyline of Singularity;Ezio Auditore da Firenze;Cavern of Souls;06;02;06;00;06;06;06;06;00;06;00;144
BlackHole;Hypergenesis;Progenitus;Counterspell;04;00;06;00;00;00;00;00;00;02;06;144
lollonator;Tidehollow Sculler;Lavinia, Azorius Renegade;Guttural Response;04;03;03;00;06;00;01;00;00;03;03;144
Michael W;Leyline of Mutation;Emrakul, the Aeons Torn;Urza's Saga;06;01;06;00;06;04;00;00;00;06;00;144
The green one;Leyline of Mutation;Leyline of Anticipation;Emrakul, the Aeons Torn;06;01;06;00;06;06;06;00;00;06;00;144
hug77;Leyline of Singularity;Karakas;Chamber Sentry;06;02;06;06;06;06;06;06;00;06;00;144
The Beast;Tolarian Academy;Crystal Quarry;Door to Nothingness;03;03;00;00;02;03;00;00;00;00;00;144
Master_of_Desaster;Karakas;Inkmoth Nexus;The Kami War // O-Kagachi Made Manifest;00;06;06;06;00;03;06;06;06;06;00;144
