player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Mox Sapphire;Deserted Temple;Wake Thrasher;00;01;06;00;03;06;00;00;00;00;00;00;84
Kratos Aurion;Words of Wilding;Sungrass Prairie;Mage's Attendant;04;00;00;00;06;03;03;03;00;02;00;03;84
Michael W;Mishra's Factory;Thespian's Stage;Urza's Saga;00;06;00;00;03;00;00;00;00;06;00;06;84
Master_of_Desaster;Mishra's Workshop;Kaldra Compleat;Meteor Golem;06;06;06;00;06;06;06;00;02;06;02;06;84
Sterni;Gingerbrute;City of Traitors;Sword of Feast and Famine;03;00;03;00;00;03;00;00;00;00;00;03;84
BlackHole;Black Lotus;Black Lotus;Emrakul, the Promised End;00;03;06;00;03;00;06;03;00;00;03;03;84
lollonator;Mishra's Workshop;Myr Battlesphere;Myr Turbine;06;03;06;00;06;00;00;03;00;06;00;06;84
hug77;Black Lotus;Karn Liberated;Chronomaton;06;03;06;06;06;03;03;00;06;06;06;03;84
lordfire;Mishra's Workshop;Kaldra Compleat;Meteor Golem;06;06;06;02;06;06;06;00;00;06;02;06;84
The Beast;Leyline of Anticipation;Sol Ring;Thought-Knot Seer;06;02;00;00;06;06;00;00;00;00;00;06;84
IMP;Mishra's Workshop;Wurmcoil Engine;Wurmcoil Engine;06;06;06;02;06;03;06;00;02;06;00;06;84
P0LTERGEIST;Mishra's Workshop;Stuffy Doll;Phyrexian Revoker;06;03;00;00;03;03;00;03;00;00;00;00;84
