player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Snow-Covered Wastes; Disruptor Flute; Lupine Prototype;00;03;06;06;03;06;03;03;03;03;03;107
lordfire;Razorgrass Ambush // Razorgrass Field; White Orchid Phantom; Kudo, King Among Bears;03;00;03;03;03;06;06;00;06;01;02;107
BlackHole;Black Lotus; Harbinger of the Seas; Flare of Denial;00;03;00;06;00;01;01;01;03;00;03;107
Master_of_Desaster;Ajani, Nacatl Pariah // Ajani, Nacatl Avenger; Strength of the Harvest // Haven of the Harvest; Assassin's Trophy;00;03;00;00;00;02;00;01;02;00;03;107
Silver Seraph;Snow-Covered Wastes; Disruptor Flute; Idol of False Gods;03;03;06;06;00;06;03;03;03;03;03;107
lollonator;Karakas; Indebted Spirit; Path to Exile;00;00;04;02;00;00;00;00;00;00;02;107
Master_of_Desaster;Ajani, Nacatl Pariah // Ajani, Nacatl Avenger; Bridgeworks Battle // Tanglespan Bridgeworks; Assassin's Trophy;03;00;04;06;03;06;00;03;03;01;03;107
The Beast;Ocelot Pride; Ajani, Nacatl Pariah // Ajani, Nacatl Avenger; Snow-Covered Wastes;03;06;04;04;03;06;03;00;03;03;03;107
hug77;Snow-Covered Wastes; Ajani, Nacatl Pariah // Ajani, Nacatl Avenger; Thraben Charm;03;00;03;02;03;06;03;03;00;01;03;107
Michael W;Disruptor Flute, Ajani; Nacatl Pariah // Ajani, Nacatl Avenger; Snow-Covered Wastes;03;04;06;06;03;06;04;03;04;00;04;107
P0LTERGEIST;Ajani, Nacatl Pariah // Ajani, Nacatl Avenger; Flare of Fortitude; Snow-Covered Wastes;03;02;03;03;03;02;03;03;03;01;00;107
