player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;Tropical Island;Daze;Edge Rover;00;03;03;03;03;03;03;03;00;137
Michael W;Black Lotus;Black Lotus;Thrumming Hivepool;03;00;06;06;06;03;03;03;06;137
lollonator;Exploration Broodship;Old-Growth Dryads;Forest;03;00;00;00;04;00;01;00;00;137
BlackHole;Black Lotus;Archenemy's Charm;Memnite;03;00;06;00;06;00;01;00;00;137
Optimiert;Black Lotus;Frenzied Baloth;Spider Umbra;03;00;01;00;00;00;03;00;00;137
Silver Seraph;Black Lotus;Lightstall Inquisitor;Luminarch Aspirant;03;03;06;06;06;00;03;00;06;137
hug77;Black Lotus;Thalia, Guardian of Thraben;Lightstall Inquisitor;03;03;04;04;03;03;00;03;00;137
The Beast;Black Lotus;Mishra's Workshop;Thrumming Hivepool;03;03;06;06;06;06;03;00;06;137
Master_of_Desaster;Eumidian Hatchery;Wasteland;Worthy Cost;06;00;06;06;06;00;06;00;00;137
