player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Lurrus of the Dream-Den;Davriel, Rogue Shadowmage;00;00;03;03;04;06;01;03;03;03;139
The green one;Force of Will;Misthollow Griffin;Inkmoth Nexus;06;00;06;02;02;06;02;02;00;02;139
lollonator;Karakas;Simian Spirit Guide;Kataki, War's Wage;03;00;00;06;02;02;00;00;00;06;139
Silver Seraph;City of Traitors;Kataki, War's Wage;Syr Ginger, the Meal Ender;03;02;00;00;06;00;03;00;00;06;139
BlackHole;Blast Zone;Maze of Ith;Revel in Riches;01;02;02;00;00;00;02;02;00;00;139
Michael W;Seam Rip;Karakas;Mangara of Corondor;00;00;02;06;06;00;04;00;00;06;139
The Beast;City of Traitors;Lupine Prototype;Null Rod;04;02;06;03;02;01;00;02;02;06;139
hug77;Leyline of Singularity;Karakas;Inkmoth Nexus;03;02;06;06;02;06;02;00;00;06;139
Optimiert;Wasteland;Inkmoth Nexus;Karakas;03;06;06;06;06;06;02;06;00;00;139
Master_of_Desaster;Urza's Saga;Power Conduit;Urza's Saga;03;02;00;00;06;00;00;00;06;00;139
