player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Tarnished Citadel;Duress;Death's Shadow;0;3;3;3;3;3;6;6;6;0;6;129
Silver Seraph;Black Lotus;Black Lotus;Elemental Eruption;3;0;4;4;4;6;6;0;0;6;0;129
Master_of_Desaster;Black Lotus;Reconstruction;Aeve, Progenitor Ooze;3;1;0;2;2;6;6;0;0;6;0;129
Schniggi;Black Lotus;Fossil Find;Aeve, Progenitor Ooze;3;1;2;0;2;6;6;0;0;6;0;129
Sedris;Black Lotus;Reconstruction;Aeve, Progenitor Ooze;3;1;2;2;0;6;6;0;0;6;0;129
Optimiert;Black Lotus;Leonin Squire;Empty the Warrens;3;0;0;0;0;0;6;0;0;6;0;129
lollonator;Isochron Scepter;City of Traitors;Callous Dismissal;0;0;0;0;0;0;0;0;0;0;0;129
hug77;The Tabernacle at Pendrell Vale;Dwarven Hold;Devil's Play;0;6;6;6;6;6;6;0;0;0;2;129
Michael W;The Tabernacle at Pendrell Vale;Mishra's Factory;Bridgeworks Battle // Tanglespan Bridgeworks;0;6;6;6;6;6;6;6;0;0;6;129
BlackHole;Maze of Ith;Rushwood Grove;Crush of Wurms;6;0;0;0;0;0;6;6;6;0;2;129
The Beast;Force of Negation;Dryad Arbor;Sea Gate Restoration // Sea Gate, Reborn;0;6;6;6;6;6;6;2;0;2;0;129
