player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;round
Namse;Black Lotus;Phyrexian Fleshgorger;Boseiju, Who Endures;00;00;03;00;06;06;00;02;01;66
lordfire;Black Lotus;Wasteland;Skystrike Officer;06;00;03;03;06;06;00;06;06;66
The Beast;Dreams of Steel and Oil;Black Lotus;Lupine Prototype;03;03;00;04;00;00;04;06;06;66
Michael W;Woodcaller Automaton;Black Lotus;Cascading Cataracts;06;03;01;00;06;06;02;06;01;66
BlackHole;The Tabernacle at Pendrell Vale;City of Traitors;Mishra's Foundry;00;00;06;00;00;02;06;00;06;66
Master_of_Desaster;The Tabernacle at Pendrell Vale;Mishra's Foundry;Urborg, Tomb of Yawgmoth;00;00;06;00;02;00;06;00;02;66
hug77;Black Lotus;Black Lotus;Titania's Command;06;06;01;02;00;00;00;06;02;66
lollonator;Karakas;Isamaru, Hound of Konda;Yotian Frontliner;02;00;00;00;06;06;00;00;02;66
P0LTERGEIST;Mishra's Workshop;Liberator, Urza's Battlethopter;Simian Simulacrum;04;00;00;04;00;02;02;02;00;66
