player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Mountain;Alpine Moon;Kumano Faces Kakkazan // Etching of Kumano;00;06;00;06;02;06;00;02;00;06;00;06;104
Silver Seraph;Peat Bog;Tribute to Horobi;Tribute to Horobi;00;00;03;03;06;06;06;00;06;03;06;06;104
Michael W;Sunken Citadel;Treetop Village;Boseiju, Who Endures;06;03;00;06;06;03;06;06;06;01;00;06;104
hoempes;Remote Farm;Seal of Cleansing;Skrelv's Hive;00;03;00;00;06;03;06;00;06;03;00;06;104
BlackHole;Seal of Fire;Boros Garrison;Hall of Heliod's Generosity;02;00;00;00;00;00;06;02;00;00;00;06;104
lordfire;Remote Farm;Skrelv's Hive;Skrelv's Hive;00;00;03;03;06;00;06;00;03;03;03;06;104
lollonator;Swamp;Hopeless Nightmare;Okiba Reckoner Raid // Nezumi Road Captain;06;00;00;00;00;00;00;06;00;00;00;06;104
Daeron;Mountain;Alpine Moon;Kumano Faces Kakkazan // Etching of Kumano;02;06;00;06;02;06;00;00;00;06;00;06;104
hug77;Sand Silos;Saprazzan Cove;Kiora Bests the Sea God;06;00;00;00;06;03;06;06;00;01;06;00;104
The Beast;Volatile Fault;Sunken Citadel;Treetop Village;00;03;04;03;06;03;06;00;04;00;00;06;104
Master_of_Desaster;Hollow Trees;Rushwood Grove;Garruk Primal Hunter;06;00;06;06;06;03;06;06;00;06;00;00;104
P0LTERGEIST;Dimir Aqueduct;Davriel, Rogue Shadowmage;Mishra's Factory;00;00;00;00;00;00;00;00;06;00;06;00;104
