player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Tibalt's Trickery;Vex;Memnite;00;06;06;00;06;00;00;06;00;06;00;21
lollonator;Propaganda;Force of Will;Curse of the Pierced Heart;00;00;00;00;06;00;00;06;00;06;06;21
NumiChan;Chromanticore;Snapback;Force of Will;00;06;00;04;06;06;00;06;00;06;06;21
The Beast;Dark Depths;Thespian's Stage;Soul's Fire;06;06;01;00;03;00;00;02;06;00;06;21
Michael W;Wrenn and Six;Smokestack;Gods' Eye, Gate to the Reikai;00;00;00;03;00;00;00;00;00;00;02;21
Master_of_Desaster;Mana Short;Force of Will;Skylasher;06;06;00;06;06;00;02;06;02;06;02;21
hug77;Funeral Charm;Skylasher;Unsubstantiate;06;06;06;06;06;02;00;06;06;06;06;21
BlackHole;Black Lotus;Fist of Suns;Emrakul, the Promised End;00;00;00;02;06;00;00;00;00;00;06;21
P0LTERGEIST;Savage Summoning;Lavinia, Azorius Renegade;Red Elemental Blast;06;06;06;00;06;02;00;06;00;06;06;21
hoempes;Emrakul, the Aeons Torn;Sneak Attack;Mountain;00;00;00;06;06;00;00;06;00;00;06;21
The green one;Surrak Dragonclaw;Memnite;Memnite;06;00;00;00;02;02;00;00;00;00;00;21
