player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;round
Namse;Cavern of Souls;Old-Growth Dryads;Wasteland;00;06;06;06;06;06;00;06;06;06;06;06;06;06;12
Hoempes;The Rack;Fountain of Cho;Chancellor of the Annex;00;00;00;00;03;00;00;00;00;06;00;06;00;06;12
lollonator;Chancellor of the Annex;Wasteland;Chancellor of the Forge;00;06;00;06;02;06;06;06;06;02;06;02;06;06;12
Michael W;Wasteland;Dryad Arbor;Chancellor of the Annex;00;06;00;00;02;02;00;02;02;02;02;02;02;06;12
The Beast;The Tabernacle at Pendrell Vale;Urborg, Tomb of Yawgmoth;Mishra's Factory;00;03;02;02;00;00;00;00;02;00;02;00;00;02;12
The green one;Wasteland;Fountain of Cho;Chancellor of the Annex;00;06;00;02;06;00;00;02;02;02;02;02;02;06;12
»Arcanis«;Warping Wail;The Rack;City of Traitors;06;06;00;06;06;06;00;06;06;06;06;06;06;06;12
hug77;Chancellor of the Annex;Fountain of Cho;Wasteland;00;06;00;02;06;02;00;00;02;02;02;02;02;06;12
Hasran Ogress;Chancellor of the Annex;Wasteland;Dryad Arbor;00;06;00;02;02;02;00;02;00;02;02;02;02;06;12
Bongoking;Chancellor of the Annex;Maze of Ith;Icatian Store;00;00;02;02;06;02;00;02;02;00;02;02;02;02;12
NumiChan;Dryad Arbor;Wasteland;Chancellor of the Annex;00;06;00;02;02;02;00;02;02;02;00;02;02;06;12
P0LTERGEIST;Icatian Store;Chancellor of the Annex;Maze of Ith;00;00;02;02;06;02;00;02;02;02;02;00;02;02;12
Master_of_Desaster;Fountain of Cho;Chancellor of the Annex;Wasteland;00;06;00;02;06;02;00;02;02;02;02;02;00;06;12
thiefAaron;Karakas;Fountain of Cho;Chancellor of the Annex;00;00;00;00;02;00;00;00;00;02;00;02;00;00;12
