player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Swamp;Troll of Khazad-dûm;Reanimate;00;03;04;00;00;06;03;00;00;00;03;03;83
Michael W;Wastes;Wastes;Retrofitter Foundry;03;00;06;06;06;00;03;03;00;00;00;06;83
lordfire;Forest;Wasteland Viper;Old-Growth Dryads;01;00;00;02;00;02;01;04;00;02;00;00;83
IMP;Isamaru, Hound of Konda;Plains;Path to Exile;06;00;02;00;02;02;06;02;06;02;06;02;83
The Beast;Plains;Swords to Plowshares;Cenn's Tactician;06;00;06;02;00;02;06;04;06;02;06;06;83
hug77;Plains;Cenn's Tactician;Portable Hole;00;06;02;02;02;00;00;04;06;02;06;06;83
lollonator;Swamp;Reanimate;Troll of Khazad-dûm;03;03;04;00;00;06;00;00;00;00;03;03;83
BlackHole;Snow-Covered Swamp;Icehide Golem;Dread Fugue;06;03;01;02;01;01;06;00;06;01;06;01;83
Sterni;Mountain;Tin Street Dodger;Taste for Mayhem;06;06;06;00;00;00;06;00;00;00;06;06;83
Master_of_Desaster;Plains;Cenn's Tactician;Detention Vortex;06;06;02;02;02;02;06;04;06;00;06;06;83
Kratos Aurion;Forest;Forest;Kazandu Tuskcaller;03;06;06;00;00;00;03;00;00;00;00;06;83
P0LTERGEIST;Death's Shadow;Cruel Sadist;Swamp;03;00;06;02;00;00;03;04;00;00;00;00;83
