player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;round
Namse;City of Traitors;Wandering Archaic // Explore the Vastlands;Introduction to Annihilation;00;06;06;00;06;00;06;00;04;02;00;06;06;02;41
Kratos Aurion;Forest;Channel the Suns;Bringer of the Green Dawn;00;00;00;00;00;00;06;06;00;00;06;06;06;00;41
Michael W;Forest;Beast Within;Anurid Scavenger;00;06;00;00;06;00;06;00;02;06;06;06;06;06;41
The Beast;Eternal Scourge;Mountain;Empty the Warrens;06;06;06;00;06;02;06;06;00;00;06;06;06;06;41
Master_of_Desaster;Mountain;Sneak Attack;Emrakul, the Aeons Torn;00;06;00;00;00;00;06;06;00;06;06;06;06;06;41
thiefAaron;Eternal Scourge;Mountain;Empty the Warrens;06;06;06;02;06;00;06;06;00;00;06;06;06;06;41
IMP;Task Force;Outrider en-Kor;Cavern of Souls;00;00;00;00;00;00;00;02;00;00;00;06;02;00;41
GoDJi8;City of Traitors;Reality Smasher;Wandering Archaic // Explore the Vastlands;06;00;06;00;00;00;02;00;04;00;00;06;06;00;41
hug77;Plains;Windborn Muse;Generous Gift;01;06;02;06;06;06;06;01;00;02;06;06;06;06;41
BlackHole;The Tabernacle at Pendrell Vale;Desert;Eater of Days;02;06;00;06;00;06;06;06;02;00;06;06;06;00;41
NumiChan;Leyline of Anticipation;Simian Spirit Guide;Magus of the Moon;06;00;00;00;00;00;06;06;00;00;00;00;00;06;41
lollonator;Cavern of Souls;Akroan Horse;Platinum Angel;00;00;00;00;00;00;00;00;00;00;06;00;04;00;41
The green one;Forest;Mistcutter Hydra;Mistcutter Hydra;00;00;00;00;00;00;02;00;00;00;06;01;00;00;41
Bongoking;Stuffy Doll;Remote Farm;Guilty Conscience;02;06;00;00;00;00;06;06;00;06;00;06;06;00;41
