player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Countersquall;Gut Shot;Nicol Bolas, Dragon-God;00;04;06;03;03;03;06;03;06;04;04;64
Kratos Aurion;Wasteland;Chandra's Regulator;Chandra, Awakened Inferno;01;00;06;01;00;01;04;00;06;00;00;64
lollonator;Karakas;Isamaru, Hound of Konda;Dovin, Hand of Control;00;00;00;00;00;00;06;00;06;00;00;64
Michael W;Pithing Needle;The Tabernacle at Pendrell Vale;Nissa, Who Shakes the World;03;04;06;00;04;00;02;03;03;03;02;64
lordfire;Elvish Spirit Guide;Ranger's Guile;Garruk, Apex Predator;03;06;06;01;00;03;06;04;06;06;03;64
The Beast;Force of Will;The Tabernacle at Pendrell Vale;Karn Liberated;03;04;06;06;03;00;06;06;06;06;03;64
BlackHole;The Elderspell;Liliana's Triumph;Liliana, the Necromancer;00;01;00;02;00;00;00;00;01;06;01;64
hug77;Unmask;Sultai Emissary;Ugin, the Spirit Dragon;03;06;06;03;01;00;06;00;06;06;02;64
The green one;Swamp;Price of Betrayal;Davriel, Rogue Shadowmage;00;00;00;03;00;00;04;00;00;03;02;64
IMP;Triskaidekaphobia;Vault of the Archangel;Sorin Markov;01;06;06;03;00;00;00;00;03;00;00;64
Master_of_Desaster;Black Lotus;Prison Realm;Nicol Bolas, Dragon-God;01;06;06;02;03;03;04;02;02;06;00;64
