player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;The Tabernacle at Pendrell Vale;Mystic Gate;Meddling Mage;00;06;03;03;06;06;06;03;06;00;00;85
Kratos Aurion;Orochi Leafcaller;Exsanguinate;Darkmoss Bridge;00;00;03;03;03;06;03;00;06;03;03;85
Michael W;Ayula's Influence;Black Lotus;Wasteland;03;03;00;00;03;04;06;03;06;06;02;85
The Beast;Darkwater Catacombs;Thopter Foundry;Sword of the Meek;03;03;06;00;03;03;06;03;06;03;06;85
BlackHole;Black Lotus;Kargan Dragonlord;Pithing Needle;00;03;03;03;00;04;06;03;00;03;03;85
lollonator;Karakas;Isamaru, Hound of Konda;Pithing Needle;00;00;01;03;01;00;06;00;06;00;00;85
Iksquadrat;Emrakul, the Aeons Torn;Lion's Eye Diamond;Shelldock Isle;00;03;00;00;00;00;00;03;06;03;03;85
hug77;Twilight Mire;Hexdrinker;Dread Fugue;03;06;03;03;03;06;03;00;06;00;01;85
IMP;Dryad Arbor;Snapback;Vizzerdrix;00;00;00;00;06;00;00;00;00;00;00;85
Master_of_Desaster;Geothermal Crevice;Lampad of Death's Vigil;Barrage of Expendables;06;03;00;03;03;06;03;06;06;00;03;85
P0LTERGEIST;City of Traitors;Spawning Pit;The Filigree Sylex;06;03;02;00;03;06;03;04;06;03;00;85
