player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Meddling Mage;Ceremonious Rejection;Embereth Shieldbreaker // Battle Display;00;02;03;06;06;06;06;06;01;06;02;87
Michael W;Mana Drain;Dack Fayden;Oko, Thief of Crowns;02;00;00;00;00;06;06;06;00;00;06;87
Kratos Aurion;Mishra's Workshop;Void Mirror;Koma, Cosmos Serpent;03;06;00;06;06;06;03;06;03;06;06;87
The Beast;Gravecrawler;Carrion Feeder;Disciple of the Vault;00;06;00;00;03;06;06;06;03;06;06;87
Master_of_Desaster;Black Lotus;Shrieking Drake;Grapeshot;00;06;00;03;00;06;04;06;00;06;06;87
Bongoking;Runed Halo;Scalding Tongs;Meddling Mage;00;00;00;00;00;00;00;00;00;00;00;87
lordfire;Annul;Artifact Mutation;Trygon Predator;00;00;03;00;01;06;00;02;00;00;06;87
lollonator;Kataki, War's Wage;Bitterblossom;Tidehollow Sculler;00;00;00;00;00;06;02;00;00;06;06;87
hug77;Ceremonious Rejection;Dread Fugue;Meddling Mage;04;06;03;03;06;06;06;06;00;06;00;87
P0LTERGEIST;Smallpox;Ulamog, the Infinite Gyre;Nexus of Fate;00;06;00;00;00;06;06;00;00;00;06;87
BlackHole;Inventors' Fair;Inkmoth Nexus;Mishra's Factory;02;00;00;00;00;06;00;00;06;00;00;87
