player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Maze of Ith;Inkmoth Nexus;Leyline of the Guildpact;00;06;00;02;02;06;06;06;03;06;110
lordfire;Sorin, Imperious Bloodlord;Exsanguinator Cavalry;Vein Ripper;00;00;00;00;06;06;06;01;00;00;110
The Beast;Daze;Reanimate;Archon of Cruelty;06;06;00;01;06;06;06;02;06;00;110
Silver Seraph;Lurrus of the Dream-Den;Liliana of the Veil;Leyline of the Void;02;06;04;00;02;06;06;02;06;00;110
lollonator;Isamaru, Hound of Konda;Path to Exile;Emrakul, the Aeons Torn;02;00;00;02;00;06;00;02;06;00;110
The green one;Grafted Wargear;Mishra's Workshop;Nyxborn Behemoth;00;00;00;00;00;00;03;00;00;00;110
BlackHole;Crashing Footfalls;Force of Will;Enter the Infinite;00;00;00;00;06;03;00;00;03;00;110
hug77;Cenn's Tactician;Skrelv, Defector Mite;Leyline of Singularity;00;04;02;02;02;06;06;00;06;00;110
Master_of_Desaster;Mox Jet;Oath of Druids;Emrakul, the Aeons Torn;03;06;00;00;00;06;03;00;00;00;110
P0LTERGEIST;Mishra's Factory;Karakas;Leyline of Singularity;00;06;06;06;06;06;06;06;06;00;110
