player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Maze of Ith;Bottomless Vault;Army of the Damned;00;02;04;00;06;06;06;06;00;06;156
The Beast;Black Lotus;Smallpox;Nether Spirit;02;00;02;02;02;06;02;02;03;02;156
Michael W;Anvil of Bogardan;City of Traitors;Nether Spirit;01;02;00;02;01;04;02;01;03;02;156
Master_of_Desaster;Mishra's Workshop;Ensnaring Bridge;The Millennium Calendar;06;02;02;00;06;06;06;02;06;02;156
Schniggi;Shadowgrange Archfiend;Memnite;Lion's Eye Diamond;00;02;04;00;00;03;06;06;00;06;156
lollonator;Black Lotus;Cavern of Souls;Lodestone Golem;00;00;01;00;03;00;00;01;03;03;156
hug77;Karakas;Black Lotus;Unstoppable Slasher;00;02;02;00;00;06;00;04;00;06;156
BlackHole;Black Lotus;Hecteyes;Cecil, Dark Knight // Cecil, Redeemed Paladin;00;02;04;02;00;04;01;00;03;04;156
Silver Seraph;Black Lotus;Black Lotus;Demonic Covenant;06;03;03;00;06;03;06;03;00;03;156
Optimiert;Black Lotus;Memnite;Doomsday Confluence;00;02;02;02;00;03;00;01;03;00;156
