player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Black Lotus;Abandon Hope;Nether Spirit;00;03;03;00;03;03;03;03;04;06;00;3
Pepega;Black Lotus;Pulse of the Dross;Lurrus of the Dream-Den;03;00;03;00;03;03;03;04;03;06;00;3
NumiChan;City of Traitors;Phyrexian Revoker;Ratchet Bomb;03;03;00;00;03;02;03;04;06;01;02;3
Hasran Ogress;Black Lotus;Leyline of Anticipation;Thalia, Guardian of Thraben;06;06;06;00;06;02;06;00;06;06;06;3
hoempes;Lurrus of the Dream-Den;Pulse of the Dross;Black Lotus;03;03;03;00;00;03;03;04;03;06;00;3
Bongoking;Maze of Ith;Black Lotus;Davriel Rogue Shadowmage;03;03;02;02;03;00;02;00;01;06;02;3
Haakon, Geißel der anderen;Liliana of the Veil;Nether Spirit;Black Lotus;03;03;03;00;03;02;00;06;02;06;00;3
thiefAaron;Black Lotus;True-Name Nemesis;Wasteland;03;01;01;06;01;06;00;00;02;06;06;3
The green one;Black Lotus;Leonin Squire;Gideon of the Trials;01;03;00;00;03;04;02;02;00;06;00;3
Lollonator;Crystal Vein;Damping Sphere;Dryad Arbor;00;00;04;00;00;00;00;00;00;00;02;3
Master_of_Desaster;Leyline of Anticipation;Black Lotus;Glowrider;06;06;02;00;06;02;06;00;06;02;00;3
