player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Misguided Rage;Destructive Flow;00;06;03;06;02;00;06;02;00;00;7
The Beast;Old-Growth Dryads;Reverent Silence;Destructive Flow;00;00;03;06;00;00;06;02;00;00;7
hoempes;Hunted Horror;Divest;Flooded Woodlands;03;03;00;04;03;03;02;02;03;01;7
lollonator;Soldier of the Pantheon;Cartouche of Solidarity;Destructive Flow;00;00;01;00;00;00;00;02;00;00;7
NumiChan;Lurrus of the Dream-Den;Murderous Rider // Swift End;Destructive Flow;02;06;03;06;00;00;06;02;00;02;7
The green one;Vampire Hexmage;Dark Depths;Destructive Flow;06;06;03;06;06;00;06;02;02;06;7
Hasran Ogress;Cavern of Souls;Scourge of the Skyclaves;Reckless Assault;00;00;02;06;00;00;00;06;00;00;7
thiefAaron;Dryad Arbor;Slippery Bogle;Martyrs' Tomb;02;02;02;02;02;02;00;00;02;06;7
Bongoking;Dark Depths;Vampire Hexmage;Destructive Flow;06;06;03;06;06;02;06;02;00;06;7
hug77;Black Lotus;Wurmcoil Engine;Reckless Assault;06;06;04;06;02;00;06;00;00;00;7
