player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Force of Will;Snapback;Memnite;00;00;06;06;00;06;06;06;02;02;06;06;06;38
Michael W;Leyline of Singularity;Karakas;Mishra's Factory;06;00;02;00;02;02;06;00;06;06;02;06;06;38
Bongoking;Black Lotus;Patron Wizard;Leyline of Anticipation;00;02;00;06;06;02;06;06;00;00;02;06;06;38
QKey;Black Lotus;Salvage Scout;Kiora Bests the Sea God;00;06;00;00;03;00;06;06;06;00;00;03;03;38
lollonator;City of Traitors;Sphere of Resistance;Retrofitter Foundry;06;02;00;03;00;00;03;00;06;06;06;03;03;38
NumiChan;Leyline of Anticipation;Black Lotus;Vryn Wingmare;00;02;02;06;06;00;06;06;00;00;06;06;06;38
thiefAaron;Mox Jet;Dark Ritual;Grave Titan;00;00;00;00;03;00;00;06;06;00;00;00;03;38
BlackHole;Maze of Ith;Wasteland;Dryad Arbor;00;06;00;00;06;00;00;00;06;02;02;00;00;38
The Beast;The Tabernacle at Pendrell Vale;Dark Depths;Yavimaya, Cradle of Growth;02;00;06;00;00;06;00;00;00;02;06;06;06;38
hug77;Force of Will;Snapback;Chancellor of the Forge;02;00;06;06;00;06;06;02;02;00;06;06;06;38
GoDJi8;Leyline of Anticipation;Black Lotus;Thalia, Guardian of Thraben;00;02;02;06;00;00;06;02;00;00;00;06;06;38
Master_of_Desaster;Black Lotus;Leonin Squire;Storm Herd;00;00;00;03;03;00;06;06;00;00;00;00;03;38
The green one;Black Lotus;Glistener Elf;Collector Ouphe;00;00;00;03;03;00;03;06;00;00;00;03;00;38
