player;card_1;card_2;card_3;card_4;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Meddling Mage;Meddling Mage;Force Spike;(Wizard);00;03;06;06;06;02;06;03;00;00;06;148
Schniggi;City of Traitors;Riling Dawnbreaker // Signaling Roar;Shadrix Silverquill;(Dragon);03;00;02;00;06;06;03;03;03;03;06;148
BlackHole;Black Lotus;Giada, Font of Hope;Platinum Angel;(Angel);00;02;00;00;02;00;06;00;00;00;00;148
Silver Seraph;Weeping Angel;Fear of Impostors;Fear of Impostors;(Nightmare);00;06;06;00;06;00;06;00;02;06;06;148
Optimiert;Black Lotus;It That Heralds the End;Sire of Seven Deaths;(Eldrazi);00;00;02;00;00;00;00;00;00;00;00;148
Michael W;Great Sable Stag;Oko, Thief of Crowns;Wild Magic Surge;(Elk);02;00;06;06;06;00;06;06;02;06;06;148
The Beast;Phyrexian Dreadnought;Phyrexian Dreadnought;Torpor Orb;(Dreadnought);00;03;00;00;06;00;00;03;00;06;00;148
lollonator;Meddling Mage;Curse of Silence;Brutal Cathar // Moonrage Brute;(Human);03;03;06;06;06;00;03;00;00;06;06;148
hug77;Cruelclaw's Heist;Murderous Rider // Swift End;Heartflame Duelist // Heartflame Slash;(Knight);06;03;06;02;06;02;06;06;00;06;06;148
The green one;Kellan, Planar Trailblazer;Bitterbloom Bearer;Faller's Faithful;(Faerie);06;03;06;00;06;00;00;00;00;00;03;148
Master_of_Desaster;Green Slime;Spell Queller;Spell Queller;(Spirit);00;00;06;00;06;00;06;00;00;03;00;148
