player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Rushwood Grove;Crush of Wurms;Maze of Ith;00;00;06;00;06;00;02;00;00;06;147
Schniggi;Peat Bog;Bitterblossom;Sanctum of Stone Fangs;06;00;00;00;06;06;03;06;00;06;147
The Beast;Mishra's Workshop;Trinisphere;Lupine Prototype;00;06;00;04;06;06;06;06;04;06;147
Silver Seraph;City of Traitors;Lupine Prototype;Disruptor Flute;06;06;01;00;06;06;06;06;02;04;147
BlackHole;Force of Will;Slippery Bogle;Dryad Arbor;00;00;00;00;00;06;00;00;00;02;147
lollonator;City of Traitors;Geth's Verdict;Isochron Scepter;06;00;00;00;00;00;00;00;00;06;147
Michael W;Vexing Shusher;Sandstone Needle;Wild Magic Surge;02;03;00;00;06;06;00;06;00;02;147
Optimiert;Inkmoth Nexus;Cathedral of War;Pithing Needle;06;00;00;00;06;06;00;00;00;00;147
hug77;City of Traitors;Disruptor Flute;Lupine Prototype;06;06;01;02;06;06;06;06;00;04;147
Master_of_Desaster;Savannah;Durkwood Baloth;Path to Exile;00;00;00;01;02;00;02;06;01;00;147
