player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Plague Engineer;Demon of Death's Gate;00;00;06;03;00;03;06;03;00;03;154
Michael W;Leyline of the Meek;Retrofitter Foundry;Tolarian Academy;06;00;06;03;00;06;00;06;06;03;154
Schniggi;Karakas;Aunt May;Archpriest of Iona;00;00;00;03;00;03;03;00;02;03;154
Silver Seraph;Phyrexian Tower;Cruelclaw's Heist;Urza's Saga;03;03;03;00;03;06;06;03;03;03;154
BlackHole;Black Lotus;Black Lotus;Hellkite Tyrant;06;06;06;03;00;03;06;06;06;00;154
Optimiert;Mishra's Workshop;Sphere of Resistance;Signal Pest;03;00;03;00;03;00;00;03;03;03;154
Master_of_Desaster;City of Traitors;Urza's Saga;Power Conduit;00;06;03;00;00;06;00;03;06;00;154
lollonator;Memnite;Black Lotus;Captivating Vampire;03;00;06;03;00;03;03;00;06;00;154
The Beast;Black Lotus;The Meathook Massacre;Illness in the Ranks;06;00;02;03;00;03;00;00;00;00;154
hug77;Dark Depths;Vampire Hexmage;Black Lotus;03;03;03;03;06;03;06;06;06;00;154
