player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Black Lotus;Samwise the Stouthearted;Empty the Warrens;00;06;03;06;03;06;00;06;03;03;82
Michael W;Shire Shirriff;Karakas;Khalni Garden;00;00;00;00;06;00;06;01;06;06;82
lordfire;Black Lotus;Court of Grace;Samwise the Stouthearted;03;06;00;06;03;06;00;06;00;03;82
BlackHole;Black Lotus;Black Lotus;Shelob, Child of Ungoliant;00;06;00;00;01;01;00;00;04;03;82
Sterni;Boromir, Warden of the Tower;Black Lotus;Karakas;03;00;03;04;00;03;06;03;06;06;82
lollonator;Black Lotus;Great Hall of the Citadel;Sorin, Lord of Innistrad;00;06;00;04;03;00;00;00;00;03;82
The Beast;Black Lotus;Leyline of Anticipation;Boromir, Warden of the Tower;06;00;06;06;00;06;00;06;06;06;82
hug77;Horn of Gondor;City of Traitors;Mox Pearl;00;04;00;06;03;06;00;00;00;03;82
Master_of_Desaster;Black Lotus;Black Lotus;The Balrog, Durin's Bane;03;00;06;01;00;06;00;06;00;03;82
P0LTERGEIST;Black Lotus;Samwise the Stouthearted;Grand Arbiter Augustin IV;03;00;03;03;00;03;00;03;03;00;82
