player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse ; Omnath, Locus of Mana; Humiliate; Vindicate;00;06;06;03;00;00;00;01;03;03;00;00;00;56
SoulCollector ; Helix Pinnacle; Mire in Misery; Boseiju, Who Endures;00;00;00;03;00;03;00;00;00;06;00;00;06;56
Michael W ; Erratic Portal; Rishadan Cutpurse; Walking Ballista;00;06;00;06;00;00;00;03;06;03;00;00;03;56
Kratos Aurion ; Void Rend; Koma, Cosmos Serpent; Commandeer;03;03;00;00;03;00;00;00;00;00;00;00;03;56
BlackHole ; Lion's Eye Diamond; Unburial Rites; Iona, Shield of Emeria;06;06;06;03;00;03;03;03;00;06;06;03;06;56
lollonator ; Cavern of Souls; Tidehollow Sculler; Lavinia, Azorius Renegade;06;03;06;06;03;00;06;00;00;00;06;03;06;56
hug77 ; Dread Fugue; Ulamog, the Infinite Gyre; Sneak Attack;06;06;06;06;03;00;00;03;06;06;03;06;06;56
The Beast ; Hexdrinker; Grief; Assassin's Trophy;04;06;03;06;03;06;03;00;06;06;06;00;06;56
IMP ; Helix Pinnacle; Maze of Ith; Hexdrinker;03;06;00;06;06;06;00;00;00;06;03;00;03;56
NumiChan ; Omnath, Locus of Mana; Lightning Greaves; Leyline of Sanctity;03;00;03;06;00;06;00;00;00;00;03;00;00;56
Master_of_Desaster ; Castigate; Merciless Eviction; Fanning the Flames;06;06;06;06;00;00;03;00;03;03;00;00;06;56
P0LTERGEIST ; Walking Ballista; Oko, Thief of Crowns; Dread Fugue;06;06;06;06;03;03;00;06;06;06;06;00;06;56
The green one ; Helix Pinnacle; Angrath's Rampage; Kaya's Guile;06;00;03;03;00;00;00;00;03;06;00;00;00;56
